Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13295.8	-13121.8	-174.056	0.24777	0.24777	0.0579925	0.0763444	0.00200943	0.065084	0.496758	3.43615	16.1883	0.372053	0.347822	0.0632343	0.216891	88.2896	0.134337	0.0763444
10	-13300.3	-13125.7	-174.654	0.251676	0.251676	0.0550244	0.0953414	0.00219081	0.0679033	0.505008	3.4249	17.2131	0.366603	0.357515	0.061666	0.214217	93.5753	0.150366	0.0953414
20	-13302.6	-13125	-177.587	0.263756	0.263756	0.0423855	0.303479	0.00281579	0.0767887	0.529611	3.39078	14.9589	0.365125	0.356073	0.0614173	0.217385	93.3923	0.345865	0.303479
30	-13301.6	-13125.5	-176.067	0.255598	0.255598	0.0529713	0.136256	0.00238299	0.0707615	0.513143	3.41371	16.9636	0.362717	0.353724	0.0580455	0.225513	91.3556	0.189227	0.136256
40	-13303.3	-13124.6	-178.638	0.248807	0.248807	0.0397302	0.210965	0.00205664	0.06583	0.498964	3.43315	19.2142	0.364706	0.355665	0.0583639	0.221265	99.6015	0.250695	0.210965
50	-13303.9	-13125.6	-178.353	0.27065	0.27065	0.0371203	0.320941	0.00321688	0.0819568	0.543059	3.37177	16.1792	0.362583	0.353595	0.0611688	0.222653	90.0996	0.358061	0.320941
60	-13300.1	-13126.1	-173.974	0.278952	0.278952	0.0505406	0.098022	0.00374358	0.0882566	0.558702	3.3493	15.0134	0.349387	0.366235	0.0610667	0.223311	90.6673	0.148563	0.098022
70	-13304	-13129.9	-174.051	0.251615	0.251615	0.0367748	0.232004	0.0021879	0.0678591	0.50488	3.42507	16.2351	0.367173	0.349322	0.0627842	0.22072	90.1145	0.268779	0.232004
80	-13301.7	-13128	-173.699	0.256451	0.256451	0.0458307	0.146207	0.00242613	0.0713864	0.514893	3.41129	17.2432	0.363558	0.351795	0.0623658	0.222282	92.0525	0.192038	0.146207
90	-13299.9	-13123.8	-176.11	0.258499	0.258499	0.0479569	0.0575158	0.00253175	0.0728928	0.519069	3.40551	16.7492	0.355014	0.361314	0.0632292	0.220443	94.3927	0.105473	0.0575158
100	-13299.5	-13124.2	-175.334	0.246622	0.246622	0.0484488	0.175587	0.00195802	0.0642612	0.494307	3.43947	15.9087	0.355014	0.361314	0.0632292	0.220443	90.7355	0.224036	0.175587
110	-13304.1	-13128.7	-175.347	0.256131	0.256131	0.0470488	0.114821	0.00240989	0.0711519	0.514238	3.4122	15.5454	0.351326	0.372482	0.0558847	0.220308	97.8184	0.16187	0.114821
120	-13302.2	-13124.8	-177.463	0.25369	0.25369	0.0470488	0.27646	0.00228819	0.0693671	0.509202	3.41914	15.8752	0.359618	0.353823	0.0602623	0.226296	88.7587	0.323509	0.27646
130	-13308.8	-13131.4	-177.462	0.271599	0.271599	0.0372835	0.261222	0.00327472	0.0826737	0.544879	3.36917	15.0857	0.345674	0.37198	0.0617613	0.220585	95.4424	0.298505	0.261222
140	-13303	-13126.3	-176.761	0.270998	0.270998	0.0320736	0.189217	0.00323803	0.0822197	0.543727	3.37081	15.0763	0.346589	0.371459	0.0616749	0.220276	95.9283	0.221291	0.189217
150	-13298.9	-13121.8	-177.097	0.24662	0.24662	0.0341305	0.147833	0.00195794	0.0642598	0.494303	3.43948	17.8142	0.357654	0.359195	0.0599677	0.223183	95.977	0.181963	0.147833
160	-13302.6	-13126.7	-175.984	0.274611	0.274611	0.0327856	0.147833	0.0034622	0.0849532	0.550596	3.36099	15.6239	0.355638	0.35717	0.0596297	0.227562	90.9672	0.180618	0.147833
170	-13301	-13124.2	-176.828	0.242706	0.242706	0.0623267	0.0755156	0.00178907	0.0614752	0.485849	3.45089	18.4104	0.379253	0.347057	0.0627183	0.210972	92.8345	0.137842	0.0755156
