Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13302.7	-13125.3	-177.338	0.251683	0.251683	0.0374363	0.226319	0.00219114	0.0679083	0.505022	3.42488	18.2208	0.360221	0.357597	0.0647387	0.217443	99.4221	0.263755	0.226319
10	-13303.6	-13125.1	-178.472	0.255078	0.255078	0.0546092	0.190365	0.00235691	0.0703808	0.512072	3.41519	16.4772	0.362566	0.353016	0.0631776	0.22124	97.5532	0.244974	0.190365
20	-13303.4	-13127	-176.444	0.264422	0.264422	0.0318785	0.169188	0.00285313	0.0772853	0.530929	3.38893	15.8323	0.3587	0.355157	0.0635608	0.222582	89.6726	0.201067	0.169188
30	-13306.2	-13129.7	-176.521	0.245205	0.245205	0.05213	0.188097	0.00189576	0.0632495	0.491264	3.44359	17.8514	0.37632	0.350413	0.0597081	0.213559	95.5389	0.240228	0.188097
40	-13295.9	-13121.4	-174.477	0.273507	0.273507	0.0480306	0.0772753	0.00339277	0.0841167	0.54851	3.36398	14.8876	0.34922	0.365237	0.06295	0.222593	90.4317	0.125306	0.0772753
50	-13299.7	-13121.2	-178.575	0.262485	0.262485	0.0200547	0.275411	0.00274538	0.0758427	0.527085	3.39433	15.5898	0.359565	0.358445	0.0643356	0.217655	94.7681	0.295466	0.275411
60	-13296.5	-13122.7	-173.786	0.274257	0.274257	0.0438451	0.186617	0.00343987	0.0846851	0.549929	3.36195	15.7726	0.370772	0.351853	0.0637229	0.213652	86.4622	0.230462	0.186617
70	-13301.8	-13127	-174.79	0.256504	0.256504	0.0599629	0.0605806	0.00242886	0.0714258	0.515003	3.41114	15.5805	0.345248	0.362385	0.0649122	0.227455	87.352	0.120543	0.0605806
80	-13302.2	-13125.6	-176.607	0.254523	0.254523	0.0434902	0.256373	0.00232928	0.0699751	0.510927	3.41677	16.1173	0.340554	0.369452	0.0643853	0.225609	88.6294	0.299863	0.256373
90	-13301	-13126.1	-174.911	0.259069	0.259069	0.0409665	0.129331	0.00256163	0.0733129	0.520224	3.4039	15.6322	0.351546	0.370465	0.062718	0.215271	93.9479	0.170297	0.129331
100	-13301.9	-13126.1	-175.746	0.268932	0.268932	0.0307126	0.149599	0.00311388	0.0806632	0.539747	3.37648	15.6607	0.351153	0.370052	0.0637641	0.215031	89.7825	0.180312	0.149599
110	-13300.3	-13126.8	-173.565	0.254812	0.254812	0.0639401	0.103435	0.00234364	0.0701863	0.511524	3.41595	14.6013	0.345922	0.370177	0.0660436	0.217858	86.013	0.167375	0.103435
120	-13299.6	-13126.2	-173.453	0.282074	0.282074	0.0592996	0.142846	0.00395407	0.0906437	0.564432	3.34097	13.8541	0.346896	0.367641	0.0664069	0.219057	86.2613	0.202146	0.142846
130	-13299.1	-13123.3	-175.84	0.264671	0.264671	0.0656177	0.0487637	0.00286714	0.0774708	0.53142	3.38824	14.9334	0.340184	0.366618	0.0645024	0.228695	90.5017	0.114381	0.0487637
140	-13302.4	-13128.3	-174.069	0.242404	0.242404	0.0496429	0.179407	0.00177643	0.0612615	0.48519	3.45177	15.7857	0.352354	0.36529	0.0623812	0.219975	84.472	0.22905	0.179407
150	-13304.9	-13130.8	-174.133	0.27759	0.27759	0.0566466	0.0586976	0.00365388	0.087218	0.556176	3.35295	15.7286	0.371044	0.357986	0.0648642	0.206106	87.1433	0.115344	0.0586976
160	-13304.3	-13127	-177.348	0.266727	0.266727	0.0740833	0.0317904	0.00298462	0.079008	0.535458	3.38255	16.1219	0.360391	0.350663	0.0691674	0.219779	90.8098	0.105874	0.0317904
170	-13301.4	-13127.2	-174.223	0.263779	0.263779	0.0593831	0.103093	0.00281706	0.0768057	0.529656	3.39072	15.9619	0.362518	0.352732	0.0647074	0.220043	87.3627	0.162477	0.103093
180	-13298.8	-13125.4	-173.355	0.279657	0.279657	0.0604245	0.091354	0.00379054	0.0887951	0.560004	3.34741	14.4653	0.363749	0.35393	0.0633824	0.218939	89.4657	0.151779	0.091354
190	-13305.9	-13131.2	-174.724	0.243535	0.243535	0.0580823	0.0561415	0.00182404	0.0620627	0.487653	3.44846	17.0184	0.357639	0.370379	0.0582063	0.213776	89.4657	0.114224	0.0561415
200	-13312.3	-13137.3	-174.941	0.264587	0.264587	0.0409403	0.116521	0.00286244	0.0774087	0.531256	3.38847	17.3826	0.384553	0.324766	0.0681278	0.222554	90.8331	0.157462	0.116521
210	-13304.8	-13129.4	-175.372	0.262687	0.262687	0.0416875	0.0922901	0.00275652	0.0759933	0.527488	3.39376	15.532	0.368545	0.342142	0.065292	0.22402	92.2966	0.133978	0.0922901
220	-13301.5	-13125.2	-176.316	0.258187	0.258187	0.0444765	0.0590573	0.0025155	0.0726631	0.518436	3.40638	15.2727	0.34097	0.377871	0.0626197	0.218539	90.9874	0.103534	0.0590573
230	-13307.2	-13128.7	-178.501	0.271538	0.271538	0.0262901	0.234658	0.00327094	0.0826271	0.544761	3.36934	16.9729	0.351654	0.359915	0.0630437	0.225387	97.8144	0.260949	0.234658
240	-13308.5	-13130.2	-178.352	0.264239	0.264239	0.0322015	0.258664	0.00284286	0.0771491	0.530568	3.38944	15.603	0.348083	0.37871	0.0591454	0.214062	95.7829	0.290866	0.258664
250	-13308.4	-13130.8	-177.598	0.274207	0.274207	0.0355318	0.154632	0.00343667	0.0846466	0.549833	3.36208	16.7959	0.370447	0.359773	0.0579586	0.211821	98.2316	0.190164	0.154632
260	-13305.7	-13128.2	-177.493	0.235439	0.235439	0.047071	0.139804	0.00150118	0.056395	0.469757	3.47235	17.699	0.346082	0.371527	0.0584154	0.223976	96.4211	0.186875	0.139804
270	-13305.5	-13127.3	-178.151	0.242308	0.242308	0.0333805	0.149704	0.00177246	0.0611942	0.484982	3.45205	17.9331	0.357821	0.353777	0.0617514	0.226651	94.6916	0.183085	0.149704
280	-13302.6	-13124.4	-178.182	0.243208	0.243208	0.0308506	0.153213	0.00181018	0.0618306	0.486942	3.44942	15.8229	0.358883	0.360933	0.0558238	0.224361	98.7257	0.184064	0.153213
