Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13296.1	-13120.6	-175.515	0.251358	0.251358	0.0426459	0.122898	0.00217567	0.0676726	0.504341	3.42581	16.3434	0.358334	0.360848	0.0590032	0.221815	96.6288	0.165544	0.122898
10	-13300.7	-13125.1	-175.623	0.245339	0.245339	0.0482641	0.083189	0.0019016	0.0633451	0.491552	3.4432	16.1621	0.34944	0.357236	0.0616308	0.231693	94.2391	0.131453	0.083189
20	-13306.3	-13128.8	-177.531	0.268651	0.268651	0.0500271	0.189397	0.00309725	0.0804523	0.539204	3.37725	15.6196	0.35016	0.361159	0.0565116	0.23217	96.1251	0.239424	0.189397
30	-13301.3	-13124.9	-176.385	0.258431	0.258431	0.0434626	0.233518	0.00252818	0.0728424	0.518931	3.4057	16.1403	0.352737	0.36718	0.0686691	0.211414	95.2792	0.276981	0.233518
40	-13302.9	-13128.7	-174.255	0.2514	0.2514	0.0447093	0.130273	0.00217763	0.0677025	0.504428	3.42569	15.9769	0.367407	0.359022	0.0671434	0.206427	85.9315	0.174982	0.130273
50	-13306	-13130.3	-175.72	0.280502	0.280502	0.0549805	0.126464	0.00384726	0.0894409	0.561558	3.34515	16.1294	0.35425	0.359219	0.064739	0.221792	93.6075	0.181445	0.126464
60	-13301.1	-13125.3	-175.798	0.252044	0.252044	0.036544	0.268613	0.00220838	0.0681699	0.505776	3.42385	16.0897	0.34885	0.364871	0.06423	0.22205	85.5078	0.305157	0.268613
70	-13306.5	-13131.7	-174.764	0.281815	0.281815	0.0572035	0.122198	0.00393636	0.0904454	0.56396	3.34166	13.6541	0.362749	0.353725	0.0682584	0.215267	94.2747	0.179402	0.122198
80	-13303.6	-13128.4	-175.141	0.243949	0.243949	0.0627366	0.0906907	0.00184165	0.0623563	0.488551	3.44725	15.4356	0.358063	0.356326	0.0687603	0.21685	94.4236	0.153427	0.0906907
90	-13310.1	-13136.8	-173.259	0.27404	0.27404	0.0425498	0.17745	0.0034262	0.0845205	0.549519	3.36253	14.9589	0.34441	0.376229	0.0499279	0.229432	84.0501	0.22	0.17745
100	-13304.4	-13129	-175.404	0.250891	0.250891	0.0276683	0.186817	0.00215354	0.0673341	0.503361	3.42715	16.3495	0.361536	0.356835	0.0640242	0.217605	80.3947	0.214486	0.186817
110	-13295.9	-13122.9	-173.069	0.255994	0.255994	0.0544359	0.139492	0.00240294	0.0710513	0.513956	3.41259	15.63	0.357289	0.360397	0.0672647	0.215049	89.8345	0.193928	0.139492
120	-13305.4	-13132.3	-173.116	0.280085	0.280085	0.0491606	0.245251	0.00381918	0.0891218	0.560791	3.34627	14.6155	0.371951	0.352176	0.0657303	0.210143	90.7674	0.294412	0.245251
130	-13306.1	-13132.7	-173.397	0.249701	0.249701	0.0602749	0.0898074	0.00209786	0.0664742	0.500855	3.43057	16.9884	0.37527	0.355319	0.0573932	0.212019	87.0878	0.150082	0.0898074
140	-13299.1	-13126.2	-172.822	0.280221	0.280221	0.0529268	0.125663	0.00382833	0.089226	0.561041	3.3459	15.2878	0.363166	0.363825	0.0650043	0.208005	86.5475	0.17859	0.125663
150	-13302.6	-13128.8	-173.827	0.282923	0.282923	0.054768	0.121662	0.0040125	0.0912945	0.565977	3.33872	15.9868	0.364204	0.359545	0.0676516	0.2086	91.4042	0.17643	0.121662
160	-13304.6	-13130.1	-174.468	0.26664	0.26664	0.0461903	0.126332	0.00297964	0.0789434	0.535289	3.38279	15.0602	0.356672	0.355317	0.0669038	0.221107	88.8459	0.172523	0.126332
170	-13313.3	-13138.5	-174.753	0.260615	0.260615	0.0501011	0.108947	0.00264384	0.0744561	0.523343	3.39956	15.1088	0.338831	0.37619	0.0667	0.218279	92.0281	0.159048	0.108947
180	-13312.8	-13136.8	-176.008	0.249636	0.249636	0.0363031	0.115035	0.00209482	0.066427	0.500717	3.43076	15.7118	0.333531	0.377419	0.0600169	0.229033	92.2839	0.151338	0.115035
190	-13311.7	-13134.3	-177.38	0.257295	0.257295	0.0556749	0.143778	0.00246934	0.0720067	0.51662	3.4089	16.6812	0.344934	0.372353	0.0588558	0.223857	97.9873	0.199453	0.143778
200	-13306.3	-13127.5	-178.815	0.256461	0.256461	0.0527342	0.192473	0.00242665	0.071394	0.514914	3.41127	19.0009	0.369848	0.354781	0.0589521	0.216419	99.617	0.245207	0.192473
210	-13311.7	-13131.8	-179.893	0.254406	0.254406	0.0492267	0.275593	0.00232348	0.0698896	0.510685	3.4171	17.979	0.370729	0.355626	0.0580041	0.21564	95.5257	0.32482	0.275593
220	-13301	-13125	-175.934	0.246102	0.246102	0.0492267	0.0671832	0.00193502	0.0638895	0.493192	3.44098	16.7096	0.361659	0.362766	0.0595549	0.216019	90.0078	0.11641	0.0671832
230	-13303.3	-13127.5	-175.771	0.260828	0.260828	0.044339	0.110428	0.00265526	0.0746133	0.52377	3.39896	17.4461	0.349567	0.368842	0.0595647	0.222027	94.0632	0.154767	0.110428
240	-13301.7	-13124.6	-177.09	0.25016	0.25016	0.0555195	0.0737978	0.00211923	0.0668057	0.501824	3.42925	18.4282	0.360825	0.356141	0.061221	0.221813	98.1325	0.129317	0.0737978
250	-13309	-13132.4	-176.549	0.264408	0.264408	0.0326803	0.11788	0.00285232	0.0772745	0.530901	3.38897	15.5642	0.340801	0.363621	0.0691061	0.226471	93.0855	0.150561	0.11788
260	-13298.6	-13122.6	-175.97	0.252252	0.252252	0.0364787	0.239428	0.00221837	0.068321	0.506211	3.42325	16.8907	0.368094	0.348566	0.0662449	0.217095	93.9375	0.275907	0.239428
270	-13299.9	-13124.7	-175.18	0.255136	0.255136	0.0401036	0.134809	0.00235983	0.0704235	0.512193	3.41502	17.4586	0.359885	0.360275	0.061276	0.218564	88.1864	0.174913	0.134809
280	-13299.9	-13123.9	-175.951	0.258469	0.258469	0.0541449	0.129819	0.00253016	0.0728704	0.519008	3.40559	16.4923	0.360553	0.360944	0.0595336	0.21897	94.026	0.183964	0.129819
290	-13303.2	-13127.7	-175.56	0.260264	0.260264	0.0477676	0.0867502	0.00262501	0.0741959	0.522636	3.40054	17.2348	0.375646	0.357204	0.0624591	0.20469	99.3746	0.134518	0.0867502
