Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
310	-126.138	0	-126.138	70.3968	70.3968	0.0582412	6.64732	0.85283	0.957353	1.03454	1.15528	11.5746	0.0332385	0.0150489	0.21345	0.738262	80.5077	6.70557	6.64732
320	-125.168	0	-125.168	31.5627	31.5627	0.0329915	6.11024	0.783686	0.933521	1.04841	1.23439	2.08964	0.00219949	0.0261968	0.948344	0.02326	81.056	6.14324	6.11024
330	-124.362	0	-124.362	16.2673	16.2673	0.0887883	5.49916	0.704779	0.902942	1.06206	1.33022	2.63876	0.00956374	0.124288	0.860749	0.00539983	80.1002	5.58795	5.49916
340	-124.424	0	-124.424	17.9727	17.9727	0.079246	6.33749	0.718112	0.90838	1.05993	1.31357	8.73902	0.136291	0.448834	0.380073	0.0348017	78.9538	6.41674	6.33749
350	-126.884	0	-126.884	17.8069	17.8069	0.0488076	6.54539	0.716895	0.907889	1.06013	1.31508	2.13362	0.779234	0.0414877	0.151066	0.0282118	78.5976	6.59419	6.54539
360	-120.201	0	-120.201	22.7829	22.7829	0.0385187	5.09289	0.747676	0.920037	1.05495	1.27734	0.614232	0.462672	0.462285	0.0689709	0.00607169	77.6032	5.13141	5.09289
370	-128.357	0	-128.357	46.5078	46.5078	0.0387599	6.27379	0.820253	0.94645	1.04128	1.19202	0.477035	0.380338	0.304139	0.280111	0.0354117	77.1189	6.31255	6.27379
380	-129.556	0	-129.556	38.9096	38.9096	0.0387599	4.7763	0.804216	0.940872	1.04446	1.21045	2.14321	0.674691	0.262129	0.0592227	0.00395804	78.663	4.81506	4.7763
390	-128.13	0	-128.13	14.3755	14.3755	0.0333455	3.58679	0.687469	0.895708	1.06471	1.35211	1.35566	0.311262	0.418193	0.159034	0.111511	79.093	3.62014	3.58679
400	-128.797	0	-128.797	20.3439	20.3439	0.0333455	3.0882	0.733931	0.914685	1.05731	1.29407	0.692534	0.24536	0.0779369	0.325507	0.351196	79.773	3.12154	3.0882
410	-132.254	0	-132.254	86.335	86.335	0.0614037	4.31347	0.866707	0.961827	1.03156	1.13991	0.997128	0.148475	0.109956	0.338682	0.402886	79.4908	4.37487	4.31347
420	-128.037	0	-128.037	39.1581	39.1581	0.0671564	3.86883	0.804811	0.941081	1.04435	1.20976	1.0848	0.0246495	0.00844154	0.356849	0.61006	78.6021	3.93599	3.86883
430	-131.86	0	-131.86	18.1737	18.1737	0.0671564	3.41183	0.719565	0.908966	1.0597	1.31177	1.18877	0.0356978	0.0888697	0.363499	0.511933	78.0692	3.47898	3.41183
440	-120.885	0	-120.885	7.98316	7.98316	0.0867917	3.78276	0.592678	0.852325	1.07668	1.47832	0.47203	0.0166352	0.477054	0.0735169	0.432794	76.0352	3.86955	3.78276
450	-121.376	0	-121.376	5.24093	5.24093	0.0867917	4.95147	0.511786	0.809513	1.08286	1.59584	0.241099	0.00395921	0.137156	0.114185	0.7447	76.642	5.03826	4.95147
460	-138.684	0	-138.684	10.4044	10.4044	0.0601315	6.10175	0.637975	0.873887	1.07153	1.41661	0.434977	0.00535334	0.00525074	0.36559	0.623806	76.3223	6.16188	6.10175
470	-114.289	0	-114.289	7.08157	7.08157	0.0354158	5.51117	0.570752	0.841295	1.07876	1.50919	0.434611	0.00920263	0.0140158	0.333153	0.643629	75.2138	5.54659	5.51117
480	-122.49	0	-122.49	7.95817	7.95817	0.0354158	4.95309	0.592115	0.852047	1.07674	1.4791	0.403544	0.0509013	0.0267714	0.633931	0.288397	75.8582	4.9885	4.95309
490	-112.869	0	-112.869	19.1728	19.1728	0.0505343	6.58747	0.726465	0.911729	1.05856	1.30324	0.945438	0.0887866	0.0166308	0.205525	0.689058	76.2878	6.638	6.58747
500	-133.118	0	-133.118	8.56215	8.56215	0.0505343	5.87091	0.605074	0.858385	1.07538	1.46116	0.197651	0.265661	0.00431194	0.18593	0.544097	76.1535	5.92144	5.87091
510	-129.974	0	-129.974	9.80652	9.80652	0.0696582	6.56374	0.628232	0.869382	1.07273	1.42966	0.120032	0.446466	0.0029824	0.177731	0.372821	76.4739	6.63339	6.56374
520	-125.808	0	-125.808	24.907	24.907	0.0276781	6.71963	0.758037	0.923995	1.05312	1.26485	0.144956	0.222067	0.00136579	0.139488	0.637079	76.9248	6.7473	6.71963
530	-123.048	0	-123.048	16.9171	16.9171	0.026672	4.76495	0.710083	0.905119	1.06123	1.32357	0.162641	0.677262	0.000337769	0.317678	0.00472221	76.3072	4.79162	4.76495
