Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-1850.9	0	-1850.9	12.1869	12.1869	9.67002	6.51508	0.662963	0.88512	1.06823	1.38368	2.07798	0.354058	0.287881	0.0932314	0.264829	91.8636	16.1851	6.51508
10	-1602.37	0	-1602.37	17.2084	17.2084	8.5374	6.71365	0.712368	0.906051	1.06086	1.32072	8.61871	0.0160092	0.0410359	0.906524	0.0364311	91.5271	15.2511	6.71365
20	-1285.95	0	-1285.95	27.9686	27.9686	6.83899	6.53836	0.770926	0.92883	1.05078	1.24946	5.21588	0.00930751	0.462564	0.513682	0.0144458	90.7775	13.3774	6.53836
30	-913.061	0	-913.061	8.88463	8.88463	4.84542	5.73167	0.611497	0.861477	1.07468	1.45235	3.55763	0.0895432	0.174488	0.719598	0.0163704	89.624	10.5771	5.73167
40	-743.811	0	-743.811	26.0083	26.0083	3.92757	5.08816	0.762923	0.92584	1.05224	1.259	6.74736	0.15484	0.19331	0.0750414	0.576809	88.4206	9.01572	5.08816
50	-561.38	0	-561.38	41.5273	41.5273	2.92463	5.21756	0.810221	0.942977	1.04328	1.20352	5.46481	0.0896793	0.363717	0.209286	0.337319	86.8707	8.14219	5.21756
60	-460.732	0	-460.732	21.8903	21.8903	2.39023	5.40928	0.7429	0.918191	1.05578	1.28313	9.77275	0.060017	0.423095	0.226174	0.290715	84.6632	7.79951	5.40928
70	-338.45	0	-338.45	46.3353	46.3353	1.66208	5.66576	0.819932	0.94634	1.04134	1.19239	3.36058	0.0335231	0.315047	0.550795	0.100635	83.1656	7.32784	5.66576
80	-207.354	0	-207.354	89.8333	89.8333	0.791251	6.10336	0.869257	0.962639	1.031	1.1371	4.77695	0.001113	0.691106	0.144775	0.163006	82.1158	6.89461	6.10336
90	-147.879	0	-147.879	31.7713	31.7713	0.0601457	3.9814	0.784362	0.933766	1.04828	1.23359	3.33713	0.000965025	0.0602436	0.122726	0.816065	81.5013	4.04155	3.9814
100	-130.666	0	-130.666	7.20205	7.20205	0.0232912	4.65675	0.573893	0.842899	1.07848	1.50473	4.94236	6.64559e-05	0.168351	0.116629	0.714954	81.5633	4.68004	4.65675
110	-127.787	0	-127.787	12.5537	12.5537	0.0657467	4.83021	0.667481	0.887103	1.06761	1.37781	1.63836	0.00183738	0.477719	0.350319	0.170125	81.1208	4.89596	4.83021
120	-134.294	0	-134.294	54.532	54.532	0.0187081	3.99069	0.833503	0.950953	1.03858	1.17697	0.654507	0.000964279	0.293042	0.503825	0.202169	80.1763	4.0094	3.99069
130	-124.615	0	-124.615	4.35494	4.35494	0.0552751	4.1435	0.472858	0.786653	1.0842	1.65629	0.138764	0.0021049	0.207983	0.0892848	0.700627	80.6569	4.19878	4.1435
140	-123.924	0	-123.924	5.43801	5.43801	0.0552751	5.57907	0.519312	0.813752	1.08247	1.58447	0.148187	0.00194736	0.0668183	0.0729869	0.858247	80.2526	5.63435	5.57907
150	-116.634	0	-116.634	10.732	10.732	0.0451208	5.85376	0.642993	0.876179	1.07089	1.40994	2.63885	0.00635219	0.689	0.0507335	0.253914	80.029	5.89888	5.85376
160	-118.716	0	-118.716	8.0889	8.0889	0.0451208	5.27357	0.595031	0.853484	1.07644	1.47504	3.36405	0.0889401	0.314794	0.42638	0.169886	81.6147	5.31869	5.27357
170	-122.09	0	-122.09	7.9995	7.9995	0.0451208	5.14458	0.593044	0.852505	1.07664	1.47781	2.57458	0.16465	0.226586	0.11416	0.494605	81.9844	5.18971	5.14458
180	-145.13	0	-145.13	4.91578	4.91578	0.0527362	5.23901	0.498542	0.801914	1.08345	1.6161	1.03176	0.439194	0.119913	0.268541	0.172352	82.8674	5.29175	5.23901
