Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-1413.04	0	-1413.04	6.90188	6.90188	6.61996	2.40431	0.565934	0.838816	1.07918	1.51607	4.89818	0.296946	0.342495	0.29333	0.0672299	99.1753	9.02426	2.40431
10	-893.294	0	-893.294	14.5333	14.5333	4.27043	3.53185	0.689033	0.89637	1.06448	1.35012	4.47009	0.00146807	0.946817	0.050587	0.00112814	98.0861	7.80228	3.53185
20	-622.218	0	-622.218	12.7993	12.7993	2.88071	2.6641	0.670406	0.88838	1.0672	1.37402	5.92794	0.057888	0.26817	0.658219	0.0157223	97.9825	5.54481	2.6641
30	-589.225	0	-589.225	66.7364	66.7364	2.72934	2.89252	0.848976	0.956092	1.03535	1.15958	4.24452	0.0901441	0.76351	0.146169	0.000177739	96.5732	5.62187	2.89252
40	-327.358	0	-327.358	38.096	38.096	1.37722	3.12064	0.80223	0.940171	1.04485	1.21275	4.25784	0.00825622	0.960454	0.0253784	0.00591156	94.4968	4.49786	3.12064
50	-145.136	0	-145.136	7.97939	7.97939	0.288224	3.27252	0.592593	0.852283	1.07669	1.47843	2.4316	0.10491	0.228198	0.65548	0.011413	93.1652	3.56074	3.27252
60	-125.595	0	-125.595	16.6383	16.6383	0.0417905	3.75411	0.707843	0.904202	1.06158	1.32637	3.76168	0.729475	0.252008	0.0139815	0.00453621	93.6918	3.7959	3.75411
70	-135.445	0	-135.445	25.8293	25.8293	0.0417905	3.18	0.762149	0.925549	1.05238	1.25992	4.40026	0.898822	0.0878287	0.00396811	0.00938083	93.5333	3.22179	3.18
80	-136.631	0	-136.631	20.3452	20.3452	0.0417905	3.22402	0.733938	0.914688	1.05731	1.29406	10.4125	0.843636	0.0121	0.00570169	0.138562	94.87	3.26581	3.22402
90	-141.146	0	-141.146	25.8592	25.8592	0.0263047	3.0993	0.762279	0.925598	1.05236	1.25977	4.78202	0.112801	0.193774	0.24776	0.445664	96.2951	3.12561	3.0993
100	-127.164	0	-127.164	19.2301	19.2301	0.0263047	3.16656	0.726846	0.911881	1.0585	1.30278	5.44964	0.0128684	0.219858	0.013482	0.753792	96.553	3.19286	3.16656
110	-131.644	0	-131.644	31.3093	31.3093	0.0226528	2.31477	0.782856	0.933218	1.04856	1.23536	4.49741	0.34985	0.0860695	0.0128788	0.551201	96.8833	2.33743	2.31477
120	-151.021	0	-151.021	41.7623	41.7623	0.0226528	2.06906	0.810733	0.943155	1.04318	1.20293	5.19175	0.0362493	0.570259	0.00186312	0.391629	98.7539	2.09172	2.06906
130	-148.315	0	-148.315	29.1299	29.1299	0.0226528	0.909715	0.775296	0.930447	1.04998	1.24428	2.72035	0.516904	0.340694	0.00059106	0.141811	99.7792	0.932368	0.909715
140	-154.7	0	-154.7	32.869	32.869	0.0226528	1.9052	0.787816	0.935019	1.04763	1.22954	1.90135	0.855974	0.0771726	0.0115117	0.055342	99.9074	1.92786	1.9052
150	-152.051	0	-152.051	5.91925	5.91925	0.0226528	1.7139	0.536291	0.823113	1.08144	1.55916	4.79851	0.105548	0.088069	0.730331	0.0760519	99.3168	1.73656	1.7139
160	-149.186	0	-149.186	25.6046	25.6046	0.0226528	2.7153	0.761167	0.925179	1.05256	1.2611	0.731288	0.237225	0.213758	0.209728	0.339289	96.7509	2.73795	2.7153
170	-143.657	0	-143.657	23.3831	23.3831	0.0196715	2.93223	0.750739	0.921214	1.05441	1.27364	0.440149	0.252345	0.219922	0.118878	0.408856	96.0817	2.9519	2.93223
180	-140.16	0	-140.16	83.2475	83.2475	0.0196715	2.09878	0.864327	0.961067	1.03207	1.14253	0.18556	0.00230091	0.298761	0.482946	0.215992	97.16	2.11845	2.09878
