Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13302.9	-13125.1	-177.792	0.25704	0.25704	0.0488216	0.0843674	0.00245624	0.0718193	0.516099	3.40963	18.464	0.386449	0.335667	0.065926	0.211958	97.0513	0.133189	0.0843674
10	-13306.4	-13128.5	-177.901	0.239143	0.239143	0.0472424	0.07459	0.00164379	0.058969	0.478023	3.46136	21.1345	0.377641	0.339635	0.0660076	0.216716	95.3527	0.121832	0.07459
20	-13316.1	-13139.5	-176.623	0.276701	0.276701	0.043227	0.0651769	0.00359604	0.0865413	0.554519	3.35534	16.4286	0.382677	0.344165	0.0599139	0.213244	91.6543	0.108404	0.0651769
30	-13303.9	-13127	-176.95	0.268701	0.268701	0.0607445	0.0968134	0.00310017	0.0804894	0.5393	3.37711	15.8934	0.36293	0.35096	0.0580488	0.228061	91.6543	0.157558	0.0968134
40	-13311.2	-13134.8	-176.32	0.272904	0.272904	0.0377015	0.238959	0.00335515	0.0836597	0.547365	3.36562	16.3423	0.364549	0.362987	0.0590158	0.213449	98.3424	0.276661	0.238959
50	-13301.6	-13128.2	-173.481	0.281528	0.281528	0.0533678	0.0921866	0.00391682	0.0902262	0.563437	3.34242	14.4585	0.361553	0.351578	0.0644987	0.22237	86.668	0.145554	0.0921866
60	-13306	-13128.9	-177.1	0.250699	0.250699	0.065473	0.125744	0.0021445	0.0671953	0.502958	3.4277	17.1677	0.348238	0.36416	0.0642535	0.223349	90.8613	0.191217	0.125744
70	-13297.9	-13123.5	-174.457	0.243781	0.243781	0.0511394	0.115917	0.00183447	0.0622368	0.488185	3.44774	16.3255	0.347996	0.373782	0.0604339	0.217788	89.4977	0.167057	0.115917
80	-13302.6	-13126.8	-175.755	0.276674	0.276674	0.0407492	0.189923	0.00359427	0.0865205	0.554468	3.35542	15.0985	0.359452	0.36142	0.0685431	0.210585	94.1171	0.230673	0.189923
90	-13299	-13120.6	-178.376	0.255926	0.255926	0.0263506	0.316063	0.00239953	0.0710018	0.513817	3.41278	15.5982	0.354273	0.359769	0.0660568	0.219901	94.7766	0.342413	0.316063
100	-13301.9	-13126	-175.928	0.270773	0.270773	0.0411243	0.133474	0.00322439	0.0820502	0.543296	3.37143	16.9106	0.349297	0.365133	0.0597239	0.225846	99.2977	0.174598	0.133474
110	-13299.8	-13120.8	-178.982	0.236416	0.236416	0.0285037	0.11791	0.00153796	0.0570705	0.47195	3.46944	17.3987	0.357186	0.355295	0.0638665	0.223653	99.7979	0.146414	0.11791
120	-13294.6	-13117	-177.614	0.260174	0.260174	0.0485943	0.0557896	0.0026202	0.0741292	0.522455	3.4008	16.6084	0.361708	0.358619	0.0602676	0.219405	99.4967	0.104384	0.0557896
130	-13296.4	-13119.2	-177.171	0.241344	0.241344	0.0459757	0.0785234	0.00173258	0.0605137	0.482872	3.45488	18.2421	0.362112	0.359019	0.0603349	0.218534	96.6428	0.124499	0.0785234
140	-13298.2	-13121	-177.188	0.24028	0.24028	0.0459757	0.0934407	0.00168929	0.0597658	0.480534	3.45801	17.7449	0.360064	0.356989	0.0599937	0.222953	96.7203	0.139416	0.0934407
150	-13301.8	-13124	-177.861	0.248486	0.248486	0.030916	0.137549	0.00204193	0.0655986	0.498281	3.43408	15.9506	0.368067	0.351043	0.06489	0.216	99.8803	0.168465	0.137549
160	-13300.8	-13125.2	-175.579	0.275076	0.275076	0.0335017	0.167638	0.00349176	0.0853066	0.551474	3.35973	15.5332	0.347957	0.362214	0.066955	0.222874	91.0188	0.20114	0.167638
170	-13301.4	-13125	-176.375	0.274315	0.274315	0.0530599	0.14766	0.00344348	0.0847285	0.550038	3.36179	15.1455	0.352674	0.366188	0.0618053	0.219333	93.7862	0.20072	0.14766
180	-13299.6	-13124.1	-175.534	0.254672	0.254672	0.0495937	0.0873043	0.00233669	0.0700841	0.511235	3.41634	16.1498	0.353615	0.367165	0.0593009	0.219919	88.4211	0.136898	0.0873043
190	-13302.9	-13125.9	-177.037	0.251717	0.251717	0.0435326	0.0935295	0.00219275	0.0679327	0.505093	3.42478	18.651	0.353001	0.366528	0.0609349	0.219537	97.9667	0.137062	0.0935295
