Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-1807.51	0	-1807.51	10.9995	10.9995	9.62331	3.53979	0.646938	0.877968	1.07038	1.40471	0.644219	0.339851	0.145465	0.441332	0.0733511	91.1067	13.1631	3.53979
10	-1588.48	0	-1588.48	4.62948	4.62948	8.6114	3.24677	0.485921	0.794504	1.08388	1.63569	0.733649	0.10056	0.0743911	0.490384	0.334665	89.7936	11.8582	3.24677
20	-1336.82	0	-1336.82	6.76883	6.76883	7.41635	3.36315	0.562257	0.836911	1.07949	1.52134	0.992417	0.0389612	0.261329	0.053066	0.646644	87.652	10.7795	3.36315
30	-958.57	0	-958.57	14.0128	14.0128	5.33124	4.88869	0.683782	0.894141	1.06526	1.35682	0.128448	0.167695	0.195371	0.0710875	0.565846	85.8438	10.2199	4.88869
40	-735.869	0	-735.869	35.9854	35.9854	4.08508	6.07615	0.796775	0.938235	1.04591	1.21908	0.192029	0.204087	0.209186	0.442835	0.143893	84.5215	10.1612	6.07615
50	-515.511	0	-515.511	3.3224	3.3224	2.82912	5.37906	0.412762	0.747949	1.0837	1.75559	2.16012	0.364108	0.429553	0.141319	0.06502	82.4521	8.20817	5.37906
60	-472.966	0	-472.966	8.03025	8.03025	2.56204	4.75106	0.593731	0.852844	1.07657	1.47685	1.63223	0.0406572	0.458627	0.384143	0.116573	82.2609	7.3131	4.75106
70	-299.929	0	-299.929	6.1671	6.1671	1.51706	4.42919	0.544349	0.827461	1.08088	1.54731	0.55457	0.025801	0.189041	0.620403	0.164755	79.6493	5.94625	4.42919
80	-179.119	0	-179.119	5.58723	5.58723	0.684384	5.08575	0.524779	0.816796	1.08216	1.57627	1.23551	0.00319132	0.199592	0.443555	0.353662	79.9437	5.77013	5.08575
90	-112.656	0	-112.656	16.953	16.953	0.0766171	4.93673	0.710367	0.905235	1.06118	1.32322	3.37752	0.000121085	0.721017	0.00950129	0.269361	80.8467	5.01335	4.93673
100	-128.422	0	-128.422	1.79297	1.79297	0.0818602	5.07315	0.267243	0.631023	1.06383	2.03791	2.29234	0.000111914	0.620197	0.011199	0.368492	82.2601	5.15501	5.07315
110	-124.584	0	-124.584	1.91433	1.91433	0.0483898	4.28368	0.282829	0.645583	1.06769	2.0039	5.16202	0.00939898	0.460708	0.214106	0.315787	82.3608	4.33207	4.28368
120	-127.205	0	-127.205	6.65462	6.65462	0.0483898	3.36529	0.559024	0.835226	1.07976	1.52599	1.41319	0.0109461	0.827552	0.130113	0.0313891	83.1656	3.41367	3.36529
130	-142.035	0	-142.035	2.03929	2.03929	0.0544995	2.25116	0.297921	0.659128	1.07094	1.97201	1.25528	0.293688	0.0614798	0.212401	0.432432	82.237	2.30566	2.25116
140	-151.971	0	-151.971	81.4624	81.4624	0.0544995	1.35801	0.862891	0.960607	1.03238	1.14412	2.22172	0.360617	0.200995	0.109094	0.329294	82.6268	1.41251	1.35801
150	-147.236	0	-147.236	19.5284	19.5284	0.0557008	1.49964	0.7288	0.912657	1.05817	1.30037	3.50287	0.752079	0.0237763	0.100538	0.123607	82.9113	1.55534	1.49964
160	-144.355	0	-144.355	8.07157	8.07157	0.0300913	3.18977	0.594648	0.853296	1.07648	1.47558	3.85155	0.427355	0.506672	0.020959	0.0450135	82.1723	3.21986	3.18977
170	-136.044	0	-136.044	3.41291	3.41291	0.0300913	2.98712	0.418881	0.752099	1.08391	1.74511	0.471298	0.297453	0.646902	0.00495252	0.0506929	80.3209	3.01722	2.98712
180	-143.868	0	-143.868	2.86507	2.86507	0.0413033	2.07875	0.378546	0.723773	1.08176	1.81592	1.0301	0.926098	0.0675273	0.00213853	0.00423588	80.1027	2.12005	2.07875
190	-152.017	0	-152.017	5.4649	5.4649	0.0431945	1.13729	0.520311	0.81431	1.08241	1.58297	0.594264	0.386548	0.587165	0.0145269	0.0117602	79.685	1.18048	1.13729
200	-153.857	0	-153.857	10.8935	10.8935	0.0431945	0.663198	0.645391	0.877268	1.07058	1.40676	1.9818	0.759869	0.178372	0.046708	0.0150514	79.6665	0.706392	0.663198
210	-151.134	0	-151.134	49.3286	49.3286	0.0694087	1.01929	0.825268	0.948165	1.04026	1.1863	1.32254	0.599448	0.104673	0.220987	0.0748915	79.743	1.08869	1.01929
