Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13302.1	-13128	-174.049	0.24786	0.24786	0.0503249	0.119574	0.00201354	0.0651492	0.496952	3.43589	15.5798	0.353392	0.363267	0.061764	0.221577	95.7565	0.169899	0.119574
10	-13310.6	-13132.3	-178.279	0.266817	0.266817	0.048143	0.319749	0.00298987	0.0790759	0.535635	3.3823	16.2431	0.361712	0.358341	0.0662043	0.213743	98.7795	0.367892	0.319749
20	-13309.2	-13132.7	-176.423	0.262428	0.262428	0.0396351	0.271087	0.00274226	0.0758005	0.526972	3.39449	16.7118	0.350257	0.367505	0.0630288	0.219209	91.3793	0.310722	0.271087
30	-13311.7	-13133.1	-178.592	0.272539	0.272539	0.0214938	0.271087	0.00333255	0.0833839	0.546671	3.36661	15.3048	0.353127	0.359292	0.0642219	0.223359	93.6059	0.292581	0.271087
40	-13308.6	-13134.3	-174.363	0.267894	0.267894	0.0512307	0.117311	0.00305262	0.0798833	0.537733	3.37933	14.0582	0.340513	0.37932	0.0610673	0.2191	93.3648	0.168542	0.117311
50	-13308.4	-13132.8	-175.642	0.285225	0.285225	0.0385442	0.183463	0.00417347	0.093062	0.570134	3.33263	14.7343	0.333441	0.371443	0.0615304	0.233586	93.3648	0.222007	0.183463
60	-13309.8	-13134.2	-175.516	0.263278	0.263278	0.0528645	0.124307	0.00278919	0.0764327	0.528663	3.39211	15.4717	0.325729	0.38349	0.0625975	0.228184	90.4795	0.177172	0.124307
70	-13305.6	-13133.1	-172.483	0.249258	0.249258	0.0556782	0.129284	0.00207733	0.0661543	0.499917	3.43185	16.8437	0.367154	0.354996	0.0593271	0.218523	84.3258	0.184962	0.129284
80	-13301.6	-13129	-172.59	0.286994	0.286994	0.0567926	0.0581762	0.0042997	0.0944232	0.573299	3.32798	14.4176	0.35955	0.35701	0.0636777	0.219763	85.714	0.114969	0.0581762
90	-13302.7	-13131.9	-170.843	0.256379	0.256379	0.0567926	0.104196	0.0024225	0.0713341	0.514747	3.4115	14.0428	0.363318	0.354698	0.0636438	0.21834	78.8274	0.160988	0.104196
100	-13309.5	-13136.6	-172.914	0.249331	0.249331	0.0611294	0.102271	0.00208072	0.0662071	0.500072	3.43164	15.4012	0.35124	0.363832	0.0652147	0.219713	85.9629	0.1634	0.102271
110	-13303	-13130.4	-172.542	0.258686	0.258686	0.0549863	0.0986021	0.00254152	0.0730305	0.519448	3.40498	16.5715	0.357928	0.360938	0.0601518	0.220982	85.9629	0.153588	0.0986021
120	-13306.1	-13128.5	-177.633	0.258246	0.258246	0.0777821	0.039832	0.00251852	0.072706	0.518555	3.40622	16.4593	0.35929	0.357959	0.0576839	0.225067	89.9654	0.117614	0.039832
130	-13299.9	-13124.4	-175.497	0.250109	0.250109	0.047877	0.0623161	0.00211685	0.0667688	0.501716	3.4294	16.8664	0.37126	0.350335	0.0588615	0.219543	90.5236	0.110193	0.0623161
140	-13312.7	-13135.9	-176.732	0.27275	0.27275	0.0415044	0.301331	0.00334563	0.0835436	0.547073	3.36604	14.0349	0.348156	0.359252	0.0618612	0.230731	90.4279	0.342835	0.301331
150	-13301.8	-13126	-175.792	0.277347	0.277347	0.0531483	0.0460444	0.00363806	0.0870335	0.555725	3.3536	15.3533	0.358497	0.354987	0.0585246	0.227992	89.3147	0.0991927	0.0460444
160	-13304.5	-13127.8	-176.697	0.256072	0.256072	0.0413747	0.0904683	0.00240692	0.0711089	0.514117	3.41237	16.8642	0.34739	0.368371	0.0583089	0.22593	97.9721	0.131843	0.0904683
170	-13306.5	-13130.6	-175.854	0.257704	0.257704	0.038607	0.120887	0.00249042	0.0723073	0.517453	3.40775	15.3335	0.353933	0.367691	0.059407	0.218969	98.0007	0.159494	0.120887
180	-13302.1	-13125.6	-176.462	0.247487	0.247487	0.0421449	0.223927	0.00199672	0.0648816	0.496157	3.43696	15.996	0.349266	0.37105	0.0564561	0.223227	91.5376	0.266072	0.223927
190	-13300.9	-13126.5	-174.41	0.257507	0.257507	0.0481829	0.126275	0.00248026	0.0721626	0.517052	3.40831	15.128	0.345151	0.362194	0.0654933	0.227162	91.984	0.174458	0.126275
200	-13301.3	-13125.7	-175.607	0.272518	0.272518	0.0503952	0.123891	0.00333122	0.0833676	0.54663	3.36667	14.8204	0.346939	0.36407	0.0606532	0.228338	96.5192	0.174287	0.123891
210	-13304.9	-13128.3	-176.572	0.253222	0.253222	0.0383024	0.15504	0.00226532	0.0690263	0.508231	3.42048	17.3958	0.344875	0.371636	0.0621772	0.221312	96.2058	0.193343	0.15504
220	-13300.2	-13123.9	-176.33	0.250898	0.250898	0.0430409	0.0786574	0.00215385	0.0673389	0.503375	3.42713	16.6341	0.343634	0.370299	0.0619535	0.224114	95.2193	0.121698	0.0786574
230	-13298.6	-13122.6	-176.021	0.270005	0.270005	0.0445165	0.158817	0.00317801	0.0814711	0.541819	3.37353	15.2364	0.336482	0.374334	0.0626285	0.226556	91.9254	0.203334	0.158817
240	-13301	-13124.3	-176.782	0.251765	0.251765	0.0612693	0.0608091	0.00219502	0.0679673	0.505192	3.42465	15.6824	0.351775	0.365898	0.0612172	0.221109	93.1187	0.122078	0.0608091
250	-13299.7	-13123.5	-176.166	0.249445	0.249445	0.0532962	0.154089	0.00208598	0.0662893	0.500313	3.43131	18.1019	0.367022	0.355228	0.0659594	0.211791	95.5877	0.207385	0.154089
260	-13299.6	-13123.8	-175.815	0.261666	0.261666	0.0428848	0.129865	0.00270061	0.0752347	0.52545	3.39661	17.1909	0.343053	0.376385	0.0604509	0.220112	97.343	0.17275	0.129865
270	-13302.1	-13125.9	-176.15	0.271656	0.271656	0.0654833	0.0408285	0.00327815	0.082716	0.544986	3.36902	14.6584	0.350851	0.370215	0.0624292	0.216504	90.0904	0.106312	0.0408285
280	-13297.9	-13122.8	-175.078	0.259061	0.259061	0.0383256	0.169406	0.00256122	0.0733073	0.520208	3.40392	16.4162	0.352517	0.366904	0.0660117	0.214567	90.8456	0.207732	0.169406
290	-13303	-13127.5	-175.471	0.257958	0.257958	0.0453824	0.12253	0.0025036	0.0724945	0.517971	3.40703	16.6555	0.35364	0.36298	0.0628011	0.220579	95.5613	0.167912	0.12253
300	-13302.2	-13125.5	-176.674	0.253272	0.253272	0.0501597	0.144426	0.00226778	0.0690631	0.508336	3.42033	15.6486	0.356959	0.357001	0.0633905	0.22265	92.7252	0.194586	0.144426
310	-13301.6	-13125.1	-176.494	0.265089	0.265089	0.0401462	0.125313	0.00289082	0.0777832	0.532245	3.38708	17.0713	0.354005	0.354047	0.0647394	0.227209	95.6318	0.165459	0.125313
320	-13301.4	-13124.8	-176.622	0.252689	0.252689	0.0459656	0.0918382	0.00223944	0.0686385	0.507122	3.422	17.6052	0.365241	0.357919	0.0607912	0.216048	94.322	0.137804	0.0918382
330	-13301.7	-13125.8	-175.905	0.235733	0.235733	0.0436154	0.144905	0.00151219	0.0565981	0.470418	3.47147	18.1192	0.365241	0.357919	0.0607912	0.216048	92.4129	0.18852	0.144905
340	-13307.1	-13129.4	-177.688	0.235633	0.235633	0.0300945	0.172039	0.00150844	0.0565289	0.470193	3.47177	18.4719	0.363832	0.356538	0.0605566	0.219074	98.874	0.202134	0.172039
350	-13300	-13124	-175.931	0.245083	0.245083	0.0517078	0.14056	0.00189046	0.0631626	0.491001	3.44395	17.0556	0.364176	0.356875	0.0596681	0.219282	93.9542	0.192268	0.14056
360	-13300	-13122.9	-177.172	0.255858	0.255858	0.0392045	0.198534	0.00239608	0.0709517	0.513677	3.41298	18.4252	0.377642	0.352956	0.0625662	0.206836	98.678	0.237738	0.198534
370	-13309.5	-13130	-179.453	0.247685	0.247685	0.0392045	0.287494	0.0020056	0.065023	0.496577	3.43639	15.5806	0.372606	0.345583	0.0617318	0.220079	95.6421	0.326699	0.287494
380	-13299.9	-13121.5	-178.424	0.266141	0.266141	0.0393596	0.278948	0.00295087	0.0785697	0.534312	3.38417	16.7541	0.359253	0.360427	0.063354	0.216965	97.2084	0.318308	0.278948
390	-13301.8	-13125.3	-176.434	0.253644	0.253644	0.0469372	0.171616	0.00228594	0.0693336	0.509107	3.41927	16.5651	0.365311	0.349226	0.0648397	0.220623	95.7926	0.218553	0.171616
400	-13306.5	-13129.8	-176.731	0.282034	0.282034	0.0356673	0.179899	0.00395134	0.0906131	0.56436	3.34108	15.9175	0.346357	0.369941	0.0590983	0.224604	96.441	0.215566	0.179899
410	-13299.3	-13124.1	-175.206	0.247742	0.247742	0.0516503	0.093294	0.00200821	0.0650645	0.496701	3.43623	16.1667	0.340851	0.375697	0.0607191	0.222733	95.6851	0.144944	0.093294
420	-13303.4	-13127.5	-175.903	0.256209	0.256209	0.0423436	0.139316	0.00241386	0.0712093	0.514398	3.41198	17.9905	0.353426	0.361527	0.0584289	0.226619	95.9416	0.181659	0.139316
430	-13306	-13128.6	-177.411	0.264891	0.264891	0.0440682	0.178317	0.00287958	0.0776351	0.531854	3.38763	16.3828	0.360999	0.358069	0.0630775	0.217855	99.8916	0.222385	0.178317
440	-13305.9	-13128.5	-177.385	0.250945	0.250945	0.0554439	0.140098	0.00215611	0.0673735	0.503475	3.427	16.7186	0.376213	0.346258	0.0602225	0.217307	98.9132	0.195542	0.140098
450	-13299.7	-13123.7	-176.083	0.266558	0.266558	0.048784	0.136957	0.0029749	0.078882	0.535129	3.38301	16.1226	0.346543	0.366252	0.0573503	0.229855	95.1779	0.185741	0.136957
460	-13304.4	-13128.8	-175.595	0.266788	0.266788	0.0488835	0.111323	0.00298817	0.0790539	0.535577	3.38238	17.1924	0.346237	0.365043	0.0598203	0.2289	95.3007	0.160206	0.111323
470	-13299.2	-13124.6	-174.62	0.253034	0.253034	0.0580841	0.12441	0.00225616	0.0688893	0.50784	3.42101	15.3632	0.357345	0.356276	0.0629764	0.223402	87.36	0.182495	0.12441
480	-13299.9	-13125.4	-174.477	0.272097	0.272097	0.0496742	0.132815	0.00330525	0.0830495	0.545829	3.36782	15.9426	0.34372	0.376444	0.0607073	0.219129	91.4643	0.182489	0.132815
490	-13299.7	-13124	-175.697	0.253623	0.253623	0.0655301	0.0668449	0.00228494	0.0693188	0.509065	3.41933	15.5045	0.352453	0.363792	0.0590595	0.224696	92.2764	0.132375	0.0668449
500	-13303.8	-13127.7	-176.174	0.255135	0.255135	0.0491722	0.0796647	0.00235976	0.0704225	0.51219	3.41503	15.5285	0.355138	0.358944	0.0595095	0.226408	98.1677	0.128837	0.0796647
510	-13303.6	-13126.7	-176.96	0.271842	0.271842	0.0469074	0.0691109	0.00328958	0.0828568	0.545342	3.36851	15.9407	0.351184	0.362039	0.0584171	0.22836	99.0859	0.116018	0.0691109
520	-13302.9	-13126.7	-176.274	0.236897	0.236897	0.0552593	0.0633839	0.00155628	0.0574039	0.473026	3.46801	16.4661	0.352373	0.360864	0.0591433	0.227619	93.8353	0.118643	0.0633839
