Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-659.491	0	-659.491	102.826	102.826	5.34015	5.14168	0.87758	0.965264	1.02918	1.12798	0.448564	0.00119303	0.162723	0.522605	0.313479	55.0718	10.4818	5.14168
10	-539.259	0	-539.259	31.9549	31.9549	4.4472	4.91172	0.784951	0.933981	1.04817	1.2329	0.473505	0.0297861	0.107487	0.694423	0.168304	54.6795	9.35891	4.91172
20	-225.791	0	-225.791	25.6332	25.6332	1.51477	4.43975	0.761293	0.925226	1.05253	1.26095	0.148403	0.17901	0.00653889	0.289511	0.52494	54.2214	5.95452	4.43975
30	-159.206	0	-159.206	16.3612	16.3612	0.849571	4.03274	0.705563	0.903265	1.06194	1.32923	0.176211	0.0945916	0.00347832	0.532647	0.369283	52.8171	4.88231	4.03274
40	-100.235	0	-100.235	16.5484	16.5484	0.150439	5.43078	0.70711	0.903901	1.0617	1.32729	0.518583	0.366408	0.0405685	0.451611	0.141413	53.2626	5.58121	5.43078
50	-127.414	0	-127.414	12.5288	12.5288	0.0684112	4.69784	0.667181	0.886972	1.06765	1.3782	1.29929	0.358474	0.226615	0.316266	0.098645	52.746	4.76626	4.69784
60	-133.799	0	-133.799	25.5541	25.5541	0.0684112	4.70919	0.760944	0.925095	1.0526	1.26137	0.247573	0.362589	0.073906	0.424527	0.138978	53.1459	4.77761	4.70919
70	-126.224	0	-126.224	30.2238	30.2238	0.0684112	4.3115	0.779189	0.931878	1.04925	1.23968	0.263178	0.466938	0.0401062	0.390442	0.102513	53.7248	4.37991	4.3115
80	-123.001	0	-123.001	43.923	43.923	0.0684112	3.23018	0.815253	0.944726	1.04228	1.19774	0.326594	0.0539558	0.00907338	0.881216	0.0557547	54.4169	3.29859	3.23018
90	-130.752	0	-130.752	28.6617	28.6617	0.130295	1.59936	0.773565	0.929808	1.0503	1.24633	0.37411	0.965333	0.00670964	0.0154605	0.0124967	55.0815	1.72965	1.59936
100	-131.049	0	-131.049	26.1598	26.1598	0.0355701	2.75482	0.763572	0.926084	1.05212	1.25822	1.4625	0.187152	0.433284	0.244394	0.135171	54.2079	2.79039	2.75482
