Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13304.2	-13132.5	-171.708	0.289679	0.289679	0.0567266	0.149282	0.00449554	0.0964943	0.578056	3.32095	15.9671	0.352433	0.364771	0.0634748	0.219321	83.351	0.206008	0.149282
10	-13303.3	-13129.5	-173.748	0.249718	0.249718	0.0388997	0.16257	0.00209863	0.0664862	0.50089	3.43053	15.1046	0.34393	0.369649	0.0600891	0.226332	85.909	0.20147	0.16257
20	-13297.9	-13123.9	-174.026	0.253952	0.253952	0.0494667	0.0867398	0.00230109	0.0695586	0.509746	3.41839	15.4879	0.343908	0.368036	0.0627105	0.225345	88.9092	0.136206	0.0867398
30	-13305.1	-13131	-174.058	0.243234	0.243234	0.0598362	0.0666962	0.00181127	0.0618489	0.486998	3.44934	15.7148	0.345176	0.369661	0.0629872	0.222177	87.7774	0.126532	0.0666962
40	-13301.9	-13126.2	-175.621	0.263225	0.263225	0.0497085	0.239676	0.00278626	0.0763934	0.528558	3.39226	16.2362	0.363164	0.358037	0.0608295	0.21797	89.3955	0.289385	0.239676
50	-13306.1	-13130.3	-175.802	0.27143	0.27143	0.0365119	0.161707	0.00326434	0.0825454	0.544554	3.36964	15.3729	0.353608	0.355927	0.064902	0.225562	93.7932	0.198219	0.161707
60	-13313.2	-13136.7	-176.503	0.263857	0.263857	0.0534857	0.0386644	0.00282144	0.076864	0.529811	3.3905	14.0324	0.352979	0.365489	0.0600177	0.221514	88.813	0.0921501	0.0386644
70	-13310.7	-13129.1	-181.656	0.276385	0.276385	0.0522349	0.441226	0.00357563	0.0863011	0.553929	3.35619	15.4514	0.350236	0.36842	0.0658709	0.215473	88.485	0.493461	0.441226
80	-13303.7	-13128.1	-175.691	0.291954	0.291954	0.0539795	0.206171	0.00466537	0.0982521	0.58204	3.31504	15.154	0.344152	0.374444	0.0624082	0.218996	92.4762	0.26015	0.206171
90	-13305	-13132.7	-172.213	0.266987	0.266987	0.0501188	0.165789	0.00299974	0.0792034	0.535967	3.38183	14.1053	0.346831	0.371386	0.0617832	0.22	82.3141	0.215907	0.165789
