Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-811.351	0	-811.351	0.483191	0.483191	5.68196	2.63528	0.0303162	0.240801	0.807642	2.92124	0.231718	0.171257	0.157504	0.536635	0.134605	64.4113	8.31724	2.63528
10	-628.01	0	-628.01	4.63776	4.63776	4.56358	2.35661	0.4863	0.794729	1.08387	1.6351	0.381234	0.159856	0.724462	0.0904514	0.0252304	63.4716	6.92019	2.35661
20	-535.883	0	-535.883	13.2688	13.2688	3.87097	1.86081	0.675784	0.890711	1.06643	1.36708	0.697991	0.0383047	0.829613	0.0250512	0.107031	62.6493	5.73178	1.86081
30	-426.144	0	-426.144	11.7751	11.7751	3.02403	2.2759	0.65766	0.882774	1.06896	1.39061	0.429526	0.261774	0.501144	0.150022	0.0870593	61.7294	5.29993	2.2759
40	-383.458	0	-383.458	5.86123	5.86123	2.67044	3.26685	0.534341	0.822052	1.08157	1.56204	1.40845	0.0119814	0.0180631	0.965981	0.00397412	61.4915	5.93729	3.26685
50	-366.079	0	-366.079	7.36323	7.36323	2.53719	3.62684	0.577986	0.844979	1.07811	1.49893	1.60325	0.588509	0.0187958	0.328283	0.0644119	61.0291	6.16403	3.62684
60	-165.036	0	-165.036	2.0145	2.0145	0.769663	3.71876	0.295	0.656547	1.07035	1.97811	3.7828	0.997092	0.000166274	0.0022775	0.000464406	59.6272	4.48842	3.71876
70	-121.284	0	-121.284	0.652998	0.652998	0.0708419	3.58937	0.0641913	0.340483	0.906123	2.6892	1.40816	0.500587	0.00119772	0.439721	0.0584942	58.1128	3.66021	3.58937
80	-137.439	0	-137.439	0.326367	0.326367	0.0708419	2.2833	0.00767608	0.125101	0.637538	3.22969	0.430712	0.888666	0.00204907	0.0355659	0.0737189	56.8433	2.35414	2.2833
90	-132.829	0	-132.829	0.182605	0.182605	0.0491446	1.75491	0.000275127	0.0243814	0.336761	3.63858	0.511917	0.334531	0.00362568	0.392688	0.269155	57.0651	1.80405	1.75491
