Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-1243.89	0	-1243.89	14.003	14.003	6.5677	2.54542	0.683681	0.894098	1.06528	1.35694	0.714268	0.0943481	0.135573	0.288773	0.481305	87.2054	9.11311	2.54542
10	-925.695	0	-925.695	31.8478	31.8478	5.15065	3.06472	0.784608	0.933856	1.04823	1.2333	1.00185	0.853331	0.0412559	0.0131499	0.0922627	85.0521	8.21537	3.06472
20	-702.285	0	-702.285	13.2721	13.2721	3.90853	4.19835	0.67582	0.890727	1.06642	1.36703	0.410657	0.507236	0.2743	0.0172851	0.201179	83.2982	8.10688	4.19835
30	-616.503	0	-616.503	28.1101	28.1101	3.37707	3.39283	0.771472	0.929033	1.05068	1.24881	0.369682	0.811831	0.0951409	0.00413039	0.0888977	82.794	6.7699	3.39283
40	-552.601	0	-552.601	13.3877	13.3877	3.03043	5.39245	0.677103	0.89128	1.06624	1.36538	0.585313	0.419452	0.0123172	0.043692	0.524539	81.6451	8.42288	5.39245
50	-395.317	0	-395.317	12.1714	12.1714	2.10208	4.79824	0.662768	0.885034	1.06826	1.38394	1.03955	0.0758748	0.000226716	0.916224	0.00767433	79.7413	6.90032	4.79824
60	-114.74	0	-114.74	5.88279	5.88279	0.190713	5.48641	0.535068	0.822449	1.08152	1.56096	2.39039	0.319683	0.000607604	0.471577	0.208133	79.4764	5.67713	5.48641
70	-135.085	0	-135.085	67.3588	67.3588	0.0456798	5.59834	0.849652	0.956314	1.03521	1.15882	1.97771	0.0539379	0.000265384	0.130442	0.815355	78.5016	5.64402	5.59834
80	-129.781	0	-129.781	16.3517	16.3517	0.0253793	5.28335	0.705484	0.903232	1.06195	1.32933	1.04458	0.0746904	0.00226909	0.450219	0.472822	79.8659	5.30873	5.28335
90	-137.268	0	-137.268	4.4007	4.4007	0.0377962	5.16937	0.475106	0.788018	1.08415	1.65272	0.603866	0.0179016	0.00112185	0.334512	0.646465	80.535	5.20717	5.16937
100	-129.037	0	-129.037	32.4688	32.4688	0.0377962	4.92239	0.786576	0.93457	1.04786	1.23099	1.57963	0.30968	0.00133945	0.507393	0.181588	80.2885	4.96019	4.92239
110	-122.97	0	-122.97	33.4809	33.4809	0.023572	5.49403	0.78967	0.935688	1.04727	1.22737	5.76564	0.714482	0.00555157	0.0593361	0.220631	79.4522	5.5176	5.49403
120	-133.003	0	-133.003	24.9249	24.9249	0.0878597	5.30443	0.758118	0.924026	1.0531	1.26475	17.0474	0.284823	0.0199373	0.540078	0.155162	78.2572	5.39229	5.30443
130	-117.245	0	-117.245	15.1266	15.1266	0.0755238	5.95596	0.694705	0.898756	1.06362	1.34292	5.01268	0.261949	0.00807092	0.372692	0.357288	78.5803	6.03148	5.95596
140	-130.617	0	-130.617	18.8158	18.8158	0.0114768	7.03391	0.72406	0.910769	1.05896	1.30621	2.17008	0.257935	0.036465	0.292538	0.413062	79.3899	7.04539	7.03391
150	-119.934	0	-119.934	26.879	26.879	0.0459833	7.29294	0.766581	0.927211	1.05158	1.25463	3.11823	0.584552	0.0365578	0.112649	0.266241	78.2044	7.33893	7.29294
160	-120.629	0	-120.629	16.949	16.949	0.0459833	6.67067	0.710336	0.905222	1.06119	1.32326	3.34663	0.986135	0.00196031	0.0032179	0.00868701	77.6486	6.71665	6.67067
170	-132.263	0	-132.263	23.5754	23.5754	0.0459833	5.96688	0.751697	0.921581	1.05424	1.27248	0.984215	0.412325	0.0357703	0.0392677	0.512637	77.4584	6.01287	5.96688
180	-134.75	0	-134.75	10.2051	10.2051	0.0217966	5.65652	0.634815	0.872434	1.07192	1.42083	2.80845	0.370237	0.0015865	0.0241806	0.603996	77.2018	5.67832	5.65652
190	-135.538	0	-135.538	4.90794	4.90794	0.0217966	4.29791	0.498209	0.801721	1.08346	1.61661	2.84003	0.784455	0.00115261	0.0162201	0.198172	78.0395	4.31971	4.29791
200	-129.795	0	-129.795	12.6423	12.6423	0.0217966	4.05065	0.668546	0.887569	1.06746	1.37643	2.11466	0.648653	0.000689955	0.0307584	0.319899	77.5863	4.07245	4.05065
210	-131.129	0	-131.129	19.9005	19.9005	0.0447707	3.89465	0.731178	0.913599	1.05777	1.29745	1.47384	0.349502	0.00100965	0.0382893	0.611199	77.1793	3.93942	3.89465
220	-119.064	0	-119.064	19.2729	19.2729	0.0447707	4.67251	0.727129	0.911993	1.05845	1.30243	1.14471	0.777959	0.000575946	0.00166881	0.219796	76.6651	4.71728	4.67251
230	-118.113	0	-118.113	14.1702	14.1702	0.0208978	4.09916	0.685399	0.89483	1.06502	1.35475	1.64776	0.787981	2.17656e-05	0.000701467	0.211296	74.3555	4.12005	4.09916
240	-128.334	0	-128.334	8.40391	8.40391	0.0208978	4.61978	0.601801	0.856797	1.07573	1.46567	0.535727	0.763399	0.000346095	0.000121944	0.236133	74.5881	4.64068	4.61978
250	-124.098	0	-124.098	21.9238	21.9238	0.0409674	4.48971	0.743084	0.918262	1.05575	1.28291	1.41403	0.676809	6.19658e-05	6.34712e-05	0.323066	73.443	4.53068	4.48971
260	-138.638	0	-138.638	45.4967	45.4967	0.0327869	4.87496	0.818347	0.945794	1.04166	1.1942	1.36899	0.678013	1.21085e-05	9.1445e-06	0.321966	73.4248	4.90775	4.87496
270	-125.827	0	-125.827	45.3166	45.3166	0.0327869	5.26653	0.818	0.945675	1.04173	1.19459	3.51875	0.129737	9.55901e-06	5.78547e-06	0.870247	72.475	5.29932	5.26653
280	-134.712	0	-134.712	34.0789	34.0789	0.03918	5.16655	0.791435	0.936323	1.04694	1.2253	3.09606	0.156388	0.000457629	0.00356721	0.839587	73.1391	5.20573	5.16655
290	-132.332	0	-132.332	72.0497	72.0497	0.0560082	3.58362	0.854475	0.957888	1.03419	1.15345	2.70377	0.162462	2.74189e-05	0.00203053	0.83548	73.4707	3.63963	3.58362
300	-132.268	0	-132.268	38.947	38.947	0.0560082	3.11659	0.804306	0.940903	1.04445	1.21034	0.412562	0.515738	0.00274268	0.0692858	0.412233	73.3319	3.1726	3.11659
310	-133.994	0	-133.994	22.0976	22.0976	0.0560082	1.90109	0.744033	0.91863	1.05558	1.28176	0.565861	0.414967	0.000336208	0.00341228	0.581284	72.9988	1.9571	1.90109
320	-134.925	0	-134.925	50.8444	50.8444	0.0516575	2.68868	0.827793	0.949024	1.03975	1.18343	0.977586	0.470226	0.0066388	0.0257163	0.497419	73.1112	2.74033	2.68868
330	-131.514	0	-131.514	26.6399	26.6399	0.0702771	2.71084	0.765594	0.926842	1.05176	1.25581	0.985027	0.803495	0.0179274	0.0619761	0.116601	73.0816	2.78112	2.71084
340	-137.161	0	-137.161	47.6583	47.6583	0.0401589	2.47917	0.822351	0.947169	1.04085	1.18963	0.379586	0.963141	0.00966944	0.0165339	0.0106561	72.7278	2.51933	2.47917
350	-137.115	0	-137.115	6.70012	6.70012	0.0401589	2.50814	0.56032	0.835903	1.07965	1.52412	0.171826	0.839953	0.0469573	0.0609018	0.0521879	72.4315	2.5483	2.50814
360	-137.055	0	-137.055	18.1164	18.1164	0.0401589	2.17339	0.719153	0.9088	1.05976	1.31228	0.356173	0.778692	0.0603181	0.0879445	0.0730458	71.9768	2.21355	2.17339
370	-128.893	0	-128.893	17.4917	17.4917	0.0531348	3.41377	0.714538	0.906934	1.06051	1.31802	0.253437	0.10418	0.0644394	0.0381869	0.793194	72.1474	3.4669	3.41377
380	-130.36	0	-130.36	16.5894	16.5894	0.0531348	2.95592	0.707444	0.904038	1.06164	1.32687	1.23608	0.055061	0.0673238	0.0811207	0.796494	72.5985	3.00905	2.95592
390	-138	0	-138	39.57	39.57	0.0357415	2.40376	0.805786	0.941424	1.04416	1.20864	1.77877	0.000599495	0.0210712	0.00419819	0.974131	70.8863	2.4395	2.40376
400	-130.773	0	-130.773	21.2756	21.2756	0.0501977	3.64969	0.739446	0.916847	1.05637	1.28734	0.363376	2.37555e-05	0.528841	0.00609777	0.465037	71.7061	3.69989	3.64969
410	-139.605	0	-139.605	8.93524	8.93524	0.0501977	3.36668	0.612476	0.861946	1.07457	1.45101	0.951907	1.30464e-05	0.354092	0.00351454	0.642381	72.1187	3.41687	3.36668
420	-137.262	0	-137.262	60.3104	60.3104	0.0501977	1.96399	0.841399	0.953591	1.03694	1.16807	0.994832	9.14395e-06	0.27806	0.00232818	0.719603	71.5384	2.01418	1.96399
430	-144.842	0	-144.842	20.1878	20.1878	0.0226775	1.4786	0.732971	0.914307	1.05747	1.29525	1.02365	2.34611e-06	0.299698	0.00183206	0.698467	72.7858	1.50128	1.4786
440	-130.811	0	-130.811	43.6449	43.6449	0.054369	2.47439	0.81469	0.944531	1.04239	1.19839	1.78235	3.99263e-06	0.848661	0.00369043	0.147644	72.6838	2.52876	2.47439
450	-142.493	0	-142.493	36.4478	36.4478	0.0437634	2.0465	0.79801	0.938674	1.04567	1.21764	4.11977	3.69613e-07	0.782573	8.54072e-05	0.217341	71.8771	2.09026	2.0465
460	-136.401	0	-136.401	5.59656	5.59656	0.0437634	2.17672	0.525114	0.816982	1.08214	1.57577	0.377977	5.36469e-07	0.953275	0.00259604	0.0441285	72.8439	2.22049	2.17672
470	-134.549	0	-134.549	4.15089	4.15089	0.0374482	1.89998	0.462464	0.780271	1.08435	1.67292	1.15593	1.20345e-06	0.823483	0.032713	0.143803	72.6483	1.93743	1.89998
480	-128.089	0	-128.089	8.24955	8.24955	0.0374482	2.17114	0.598527	0.8552	1.07608	1.47019	0.283126	2.77069e-05	0.0208436	0.76163	0.217499	73.6664	2.20859	2.17114
490	-133.753	0	-133.753	7.81146	7.81146	0.0374482	3.19544	0.588766	0.850386	1.07707	1.48377	0.439075	5.34668e-06	0.00873694	0.681476	0.309782	73.4756	3.23289	3.19544
500	-127.106	0	-127.106	4.63048	4.63048	0.0513738	2.37819	0.485967	0.794531	1.08388	1.63562	0.582846	1.03765e-05	0.0209612	0.154337	0.824691	72.2047	2.42956	2.37819
510	-119.466	0	-119.466	11.8945	11.8945	0.0513738	3.77854	0.659224	0.883468	1.06875	1.38856	0.801202	1.63838e-06	0.0538535	0.830828	0.115317	73.1145	3.82991	3.77854
520	-121.745	0	-121.745	14.0994	14.0994	0.0395859	3.28467	0.684674	0.894521	1.06513	1.35567	0.872393	1.61663e-05	0.27737	0.594705	0.127908	72.8221	3.32426	3.28467
530	-128.122	0	-128.122	5.62702	5.62702	0.0671115	2.14468	0.526205	0.817586	1.08207	1.57414	1.60422	1.73497e-05	0.239869	0.667643	0.0924703	74.5173	2.21179	2.14468
