Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13297.2	-13121.7	-175.523	0.241237	0.241237	0.0463264	0.254703	0.0017282	0.0604384	0.482637	3.4552	16.747	0.356896	0.362675	0.0612977	0.219132	94.1172	0.301029	0.254703
10	-13301.9	-13125.4	-176.485	0.249154	0.249154	0.0561019	0.294855	0.00207255	0.0660795	0.499698	3.43215	16.4111	0.346911	0.367943	0.0628325	0.222314	82.3065	0.350957	0.294855
20	-13299.2	-13128	-171.121	0.271171	0.271171	0.0520403	0.166269	0.00324856	0.0823502	0.544059	3.37034	13.6147	0.350156	0.364309	0.0654162	0.220119	81.8144	0.218309	0.166269
30	-13295.4	-13124.3	-171.049	0.266815	0.266815	0.0558046	0.10553	0.00298976	0.0790745	0.535631	3.3823	14.4805	0.351319	0.358188	0.0627449	0.227747	81.8207	0.161335	0.10553
40	-13298.8	-13123.1	-175.666	0.27874	0.27874	0.0764961	0.192586	0.00372954	0.0880949	0.55831	3.34987	14.7816	0.365949	0.350351	0.0609364	0.222764	85.1755	0.269082	0.192586
50	-13299.6	-13128.9	-170.758	0.285469	0.285469	0.05501	0.172971	0.00419076	0.0932497	0.570573	3.33199	13.0799	0.34313	0.364464	0.0632129	0.229194	83.6425	0.227981	0.172971
60	-13303.1	-13131	-172.118	0.28099	0.28099	0.0719095	0.110801	0.00388027	0.0898144	0.562453	3.34385	15.6106	0.364571	0.352567	0.0611495	0.221713	82.938	0.18271	0.110801
70	-13305.2	-13134.1	-171.06	0.281146	0.281146	0.0583568	0.116498	0.00389085	0.0899338	0.562739	3.34344	14.7366	0.358887	0.346951	0.0652042	0.228958	85.5082	0.174855	0.116498
80	-13298.1	-13127.2	-170.878	0.268322	0.268322	0.0640725	0.180627	0.00307783	0.0802052	0.538566	3.37815	14.1519	0.351487	0.36689	0.0588968	0.222726	79.3606	0.2447	0.180627
90	-13305.4	-13133.1	-172.288	0.27795	0.27795	0.0311784	0.210842	0.00367747	0.0874924	0.556845	3.35198	14.3168	0.367735	0.339425	0.0616193	0.231221	82.4648	0.24202	0.210842
100	-13314.3	-13143.1	-171.119	0.260029	0.260029	0.0465269	0.252135	0.00261249	0.0740223	0.522164	3.4012	15.0728	0.361907	0.343627	0.0585034	0.235963	79.8711	0.298662	0.252135
110	-13311.6	-13137	-174.656	0.278119	0.278119	0.0432697	0.439625	0.00368855	0.0876211	0.557159	3.35153	15.3157	0.343543	0.376933	0.0555348	0.22399	82.1496	0.482894	0.439625
120	-13308.7	-13133.3	-175.389	0.271199	0.271199	0.0654452	0.349162	0.00325027	0.0823715	0.544113	3.37027	14.1921	0.341903	0.375134	0.0600422	0.222921	81.8422	0.414608	0.349162
130	-13306.8	-13136.3	-170.503	0.291401	0.291401	0.0509128	0.147646	0.00462373	0.0978243	0.581075	3.31648	12.9827	0.341349	0.374266	0.0619795	0.222405	84.9699	0.198559	0.147646
140	-13307.9	-13136.4	-171.485	0.284348	0.284348	0.0632465	0.187567	0.00411171	0.0923881	0.568556	3.33494	13.0955	0.333912	0.371636	0.0592063	0.235246	82.644	0.250813	0.187567
