Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
290	-13304.9	-13128.4	-176.537	0.276627	0.276627	0.0436816	0.169446	0.00359129	0.0864854	0.554382	3.35554	17.0654	0.352663	0.36236	0.0636434	0.221333	98.5357	0.213128	0.169446
300	-13297.8	-13120.7	-177.138	0.238999	0.238999	0.0368967	0.174953	0.00163811	0.0588686	0.477706	3.46179	16.9336	0.365628	0.355103	0.0623687	0.2169	96.7488	0.211849	0.174953
310	-13302.9	-13124.8	-178.145	0.267949	0.267949	0.0526622	0.169618	0.00305588	0.079925	0.537841	3.37918	16.8171	0.369913	0.356051	0.0595889	0.214447	98.2184	0.222281	0.169618
320	-13302.1	-13125.2	-176.927	0.248113	0.248113	0.0409764	0.146746	0.00202498	0.0653307	0.497489	3.43515	19.5032	0.370954	0.357053	0.0569421	0.215051	97.0911	0.187722	0.146746
330	-13302.4	-13126.2	-176.138	0.273646	0.273646	0.048167	0.134517	0.00340144	0.0842216	0.548773	3.3636	15.9419	0.360865	0.348175	0.058826	0.232135	98.2426	0.182684	0.134517
340	-13296.1	-13120.4	-175.678	0.251854	0.251854	0.0415275	0.0951641	0.00219929	0.0680321	0.505379	3.42439	16.4471	0.347548	0.369957	0.0577742	0.224721	94.8046	0.136692	0.0951641
350	-13303.1	-13124.1	-179.013	0.260476	0.260476	0.0720783	0.0779877	0.00263637	0.0743529	0.523063	3.39995	15.944	0.34758	0.369991	0.0576873	0.224741	96.8261	0.150066	0.0779877
360	-13296.6	-13120.1	-176.502	0.257836	0.257836	0.0500923	0.0645249	0.00249726	0.0724046	0.517722	3.40738	15.6434	0.337577	0.376076	0.0579089	0.228437	97.3727	0.114617	0.0645249
370	-13299.8	-13122.3	-177.442	0.247189	0.247189	0.0477466	0.0409899	0.00198331	0.0646673	0.495519	3.43783	16.7364	0.340703	0.371319	0.0629253	0.225053	91.6942	0.0887365	0.0409899
380	-13299.1	-13123.8	-175.32	0.249304	0.249304	0.0402024	0.181602	0.00207948	0.0661878	0.500016	3.43172	15.8751	0.366073	0.354679	0.0601055	0.219142	91.585	0.221804	0.181602
390	-13303	-13127.9	-175.152	0.253283	0.253283	0.0461578	0.139018	0.00226828	0.0690706	0.508357	3.4203	16.0408	0.345953	0.367004	0.0599144	0.227128	91.0884	0.185176	0.139018
400	-13309.8	-13132.8	-177.009	0.261317	0.261317	0.0726098	0.0682436	0.00268167	0.0749759	0.524751	3.39759	16.3279	0.345953	0.367004	0.0599144	0.227128	89.8975	0.140853	0.0682436
410	-13302	-13125.9	-176.142	0.274389	0.274389	0.037179	0.174466	0.00344821	0.0847853	0.550179	3.36159	15.8574	0.352254	0.363552	0.0592035	0.224991	96.984	0.211645	0.174466
420	-13305.8	-13129.5	-176.344	0.253736	0.253736	0.037179	0.159152	0.00229049	0.0694013	0.509299	3.41901	17.3102	0.356688	0.360084	0.0603829	0.222845	91.5341	0.196331	0.159152
430	-13303.3	-13126.9	-176.429	0.262657	0.262657	0.0319905	0.215361	0.00275484	0.0759705	0.527427	3.39385	15.4676	0.348699	0.364556	0.0611327	0.225612	89.942	0.247351	0.215361
440	-13303.9	-13128.5	-175.358	0.255677	0.255677	0.03902	0.274439	0.00238695	0.0708191	0.513305	3.41349	17.0239	0.359169	0.361356	0.0615856	0.21789	92.3933	0.313459	0.274439
450	-13308	-13131.2	-176.773	0.254105	0.254105	0.0658879	0.136698	0.00230862	0.0696701	0.510063	3.41796	17.2972	0.352546	0.355863	0.0608585	0.230733	95.3517	0.202585	0.136698
460	-13306.6	-13130.9	-175.691	0.254647	0.254647	0.0597377	0.157333	0.00233544	0.0700658	0.511183	3.41642	17.1154	0.330529	0.375015	0.0614565	0.233	91.2121	0.21707	0.157333
470	-13301.1	-13126.9	-174.246	0.267915	0.267915	0.0490926	0.129629	0.00305384	0.0798989	0.537774	3.37927	15.6405	0.352555	0.357837	0.0650022	0.224606	89.5282	0.178722	0.129629
480	-13310.8	-13135.3	-175.471	0.29791	0.29791	0.0470376	0.174793	0.0051273	0.10287	0.592276	3.29973	14.3263	0.344789	0.367627	0.064548	0.223037	96.6718	0.221831	0.174793
490	-13304.7	-13126.3	-178.359	0.270454	0.270454	0.0257755	0.392538	0.00320506	0.0818094	0.542683	3.3723	15.3691	0.344814	0.367653	0.0644799	0.223053	93.3024	0.418314	0.392538
500	-13296.3	-13121.2	-175.076	0.265005	0.265005	0.041996	0.145804	0.00288607	0.0777207	0.53208	3.38731	16.0288	0.346041	0.366667	0.0655859	0.221707	92.529	0.1878	0.145804
510	-13304.2	-13129.2	-174.955	0.253537	0.253537	0.0375508	0.131473	0.00228073	0.0692562	0.508886	3.41958	16.437	0.362398	0.36032	0.064807	0.212475	89.8943	0.169023	0.131473
520	-13302.6	-13125.6	-176.995	0.264416	0.264416	0.0564382	0.267573	0.00285279	0.0772809	0.530917	3.38895	15.8744	0.366303	0.351244	0.0623776	0.220076	91.0676	0.324011	0.267573
530	-13304.8	-13130.4	-174.486	0.268296	0.268296	0.0355202	0.181859	0.00307627	0.0801853	0.538515	3.37822	16.0456	0.36301	0.357819	0.0650881	0.214083	84.7961	0.217379	0.181859
540	-13297.2	-13123.7	-173.49	0.261352	0.261352	0.049491	0.203066	0.0026836	0.0750023	0.524823	3.39749	16.1697	0.355428	0.364099	0.0620159	0.218456	89.8955	0.252557	0.203066
550	-13300.3	-13124.7	-175.616	0.259619	0.259619	0.0519115	0.275894	0.00259067	0.0737189	0.521335	3.40235	16.097	0.356939	0.365647	0.067409	0.210005	89.3346	0.327805	0.275894
560	-13300.7	-13126.6	-174.1	0.2739	0.2739	0.0591192	0.045732	0.00341738	0.0844141	0.549254	3.36291	15.8033	0.358612	0.367361	0.0630375	0.21099	82.8595	0.104851	0.045732
570	-13301.4	-13126.1	-175.36	0.263877	0.263877	0.0336087	0.145717	0.00282253	0.0768786	0.52985	3.39045	15.0056	0.359648	0.35567	0.0610677	0.223614	89.7153	0.179326	0.145717
580	-13295.8	-13121.1	-174.757	0.259424	0.259424	0.0487952	0.178217	0.00258038	0.0735753	0.520943	3.4029	16.5951	0.352864	0.362191	0.0642741	0.220672	93.0616	0.227012	0.178217
590	-13305	-13126.5	-178.54	0.23554	0.23554	0.0350906	0.0761224	0.00150495	0.0564646	0.469984	3.47205	17.9601	0.354372	0.363739	0.0563243	0.225565	94.8005	0.111213	0.0761224
600	-13306.4	-13125.7	-180.665	0.257746	0.257746	0.0314299	0.399908	0.0024926	0.0723384	0.517539	3.40763	17.6529	0.35853	0.368007	0.0655913	0.207872	93.7987	0.431338	0.399908
610	-13303.5	-13125	-178.469	0.26188	0.26188	0.0270469	0.23919	0.0027123	0.0753939	0.525879	3.39601	16.1828	0.354272	0.359823	0.0566814	0.229224	95.0903	0.266237	0.23919
