Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-446.035	0	-446.035	5.46774	5.46774	2.03657	2.30948	0.520416	0.814369	1.08241	1.58281	0.193839	0.0122793	0.113807	0.855108	0.0188066	88.4787	4.34605	2.30948
10	-364.789	0	-364.789	2.64482	2.64482	1.70645	3.62056	0.359771	0.709751	1.0801	1.85038	0.855684	0.00412225	0.0678526	0.682882	0.245143	88.0894	5.32701	3.62056
20	-128.381	0	-128.381	1.21347	1.21347	0.0218199	2.76554	0.177486	0.532696	1.02799	2.26182	1.79692	0.0087413	0.515885	0.122813	0.352561	88.6147	2.78736	2.76554
30	-140.887	0	-140.887	8.42483	8.42483	0.0413959	2.03799	0.602239	0.85701	1.07569	1.46506	0.735559	0.0167187	0.655714	0.252452	0.0751156	89.5984	2.07939	2.03799
40	-148.59	0	-148.59	15.5132	15.5132	0.0499611	2.17492	0.698236	0.900231	1.06308	1.33845	0.42459	0.0143568	0.883474	0.0273155	0.0748532	88.0875	2.22488	2.17492
50	-140.352	0	-140.352	15.4256	15.4256	0.0252501	2.06213	0.697447	0.899902	1.0632	1.33945	0.251231	0.41415	0.345686	0.0739869	0.166178	88.833	2.08738	2.06213
60	-140.327	0	-140.327	1.27191	1.27191	0.0252501	2.8507	0.187844	0.545594	1.03366	2.23291	0.243351	0.706245	0.114411	0.16392	0.0154237	89.0297	2.87595	2.8507
70	-147.148	0	-147.148	1.78425	1.78425	0.0729472	1.19885	0.266087	0.629918	1.06352	2.04048	0.825474	0.515041	0.250439	0.184304	0.0502158	90.1612	1.2718	1.19885
80	-142.072	0	-142.072	41.273	41.273	0.0370252	2.1601	0.809662	0.942782	1.04339	1.20416	0.290766	0.267017	0.0989443	0.0176262	0.616413	93.0343	2.19713	2.1601
90	-143.191	0	-143.191	51.0048	51.0048	0.0370252	2.06059	0.828054	0.949112	1.0397	1.18314	0.223196	0.862354	0.00577485	0.00249616	0.129375	94.0798	2.09761	2.06059
100	-152.321	0	-152.321	36.0251	36.0251	0.0370252	1.65137	0.796882	0.938273	1.04589	1.21895	0.0695185	0.0945216	0.104775	0.0053919	0.795311	95.1617	1.6884	1.65137
110	-144.998	0	-144.998	18.7272	18.7272	0.0370252	1.30797	0.723452	0.910526	1.05906	1.30696	0.198798	0.0441412	0.153825	0.0196874	0.782347	96.0428	1.34499	1.30797
120	-134.693	0	-134.693	3.8947	3.8947	0.0370252	1.08001	0.448483	0.771487	1.0844	1.69563	1.29254	0.683339	0.242892	0.0101141	0.0636552	94.0751	1.11704	1.08001
130	-143.853	0	-143.853	5.67821	5.67821	0.0607411	2.41989	0.52802	0.818588	1.08196	1.57143	0.576598	0.615283	0.355315	0.00554215	0.0238606	93.4913	2.48063	2.41989
140	-133.811	0	-133.811	9.59073	9.59073	0.00804412	1.99782	0.624513	0.867644	1.07317	1.43467	0.288416	0.718863	0.214667	0.00481425	0.0616561	95.1003	2.00586	1.99782
150	-130.668	0	-130.668	7.50173	7.50173	0.0215659	3.22117	0.581409	0.846706	1.07779	1.4941	0.736897	0.152109	0.156931	0.514455	0.176505	95.3162	3.24274	3.22117
160	-136.976	0	-136.976	57.661	57.661	0.0441095	2.52598	0.837923	0.952434	1.03766	1.17198	2.25314	0.433857	0.0281106	0.0270063	0.511026	95.5135	2.57009	2.52598
170	-150.262	0	-150.262	160.516	160.516	0.0441095	2.63856	0.90153	0.972625	1.02382	1.10203	0.771287	0.849934	0.0188686	0.0564367	0.0747604	96.1263	2.68267	2.63856
180	-142.491	0	-142.491	23.188	23.188	0.0441095	1.87142	0.749756	0.920837	1.05458	1.27482	0.318282	0.274912	0.0458243	0.0140448	0.665218	96.2576	1.91552	1.87142
190	-144.471	0	-144.471	10.8695	10.8695	0.0498208	2.66901	0.645038	0.877108	1.07063	1.40722	0.630738	0.35702	0.493235	0.0935299	0.0562149	95.3776	2.71884	2.66901
200	-133.111	0	-133.111	63.1857	63.1857	0.0571657	3.20272	0.844929	0.95476	1.0362	1.16411	2.22055	0.208494	0.247994	0.393575	0.149937	97.5049	3.25989	3.20272
210	-139.809	0	-139.809	9.16156	9.16156	0.00907526	2.97578	0.616764	0.863989	1.07408	1.44517	2.21222	0.00823642	0.212687	0.483334	0.295742	96.3464	2.98486	2.97578
220	-134.109	0	-134.109	53.2668	53.2668	0.0379569	2.06521	0.831609	0.950315	1.03897	1.17911	0.944136	0.0241044	0.0359734	0.468548	0.471375	98.2655	2.10317	2.06521
230	-141.02	0	-141.02	7.72455	7.72455	0.0379569	2.42893	0.586742	0.849378	1.07727	1.48661	0.359135	0.0251486	0.00472753	0.817451	0.152673	99.8313	2.46689	2.42893
240	-134.951	0	-134.951	8.80262	8.80262	0.0434814	2.74538	0.609894	0.860708	1.07485	1.45454	2.35814	0.270446	0.0756154	0.415894	0.238045	99.8293	2.78887	2.74538
250	-127.71	0	-127.71	8.85794	8.85794	0.0254611	3.18522	0.610977	0.861228	1.07473	1.45306	0.451686	0.951994	0.0156488	0.0154256	0.0169315	99.1982	3.21068	3.18522
260	-144.373	0	-144.373	13.1026	13.1026	0.0308799	3.79687	0.67391	0.889901	1.0667	1.36949	1.44258	0.283001	0.119266	0.324038	0.273696	98.6478	3.82775	3.79687
270	-143.538	0	-143.538	7.93176	7.93176	0.0474243	3.43538	0.591519	0.851752	1.0768	1.47993	0.546778	0.200243	0.0641952	0.0456022	0.68996	99.9306	3.48281	3.43538
280	-136.743	0	-136.743	18.5296	18.5296	0.0322066	3.41554	0.722084	0.909978	1.05928	1.30865	0.644594	0.0378154	0.169048	0.692539	0.100598	98.7667	3.44775	3.41554
290	-134.512	0	-134.512	15.0895	15.0895	0.0430045	2.9428	0.694359	0.898611	1.06368	1.34335	2.85996	0.024698	0.0570242	0.81842	0.0998578	99.15	2.9858	2.9428
