Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
310	-138.826	0	-138.826	74.3564	74.3564	0.023759	3.31656	0.856682	0.958605	1.03372	1.151	2.13723	0.0222676	0.509137	0.113321	0.355274	84.342	3.34032	3.31656
320	-140.335	0	-140.335	17.6565	17.6565	0.116492	2.37535	0.715778	0.907437	1.06031	1.31647	3.06805	0.0353295	0.101562	0.0149371	0.848171	83.138	2.49185	2.37535
330	-141.626	0	-141.626	30.0672	30.0672	0.116492	1.42589	0.778644	0.931679	1.04935	1.24032	1.24632	0.0335196	0.0668281	0.0264297	0.873223	83.8602	1.54238	1.42589
340	-143.297	0	-143.297	42.5642	42.5642	0.0131266	1.9368	0.812449	0.943753	1.04284	1.20096	1.63742	0.0260139	0.0495581	0.193787	0.730642	83.2171	1.94993	1.9368
350	-145.311	0	-145.311	32.0611	32.0611	0.0568746	1.65098	0.78529	0.934104	1.04811	1.2325	0.700699	0.000283192	0.987299	0.00613501	0.00628273	83.4409	1.70785	1.65098
360	-143.339	0	-143.339	33.7238	33.7238	0.030661	1.51044	0.790392	0.935948	1.04714	1.22652	0.4966	0.00402591	0.680718	0.297977	0.0172795	84.1006	1.5411	1.51044
370	-154.002	0	-154.002	24.061	24.061	0.030661	0.894596	0.754067	0.922487	1.05382	1.26962	0.166426	6.24112e-06	0.970937	0.0286213	0.000435625	83.3353	0.925257	0.894596
380	-147.926	0	-147.926	9.90613	9.90613	0.0374072	1.0647	0.629911	0.870164	1.07253	1.4274	0.546531	0.00257759	0.490291	0.32336	0.183772	82.8956	1.1021	1.0647
390	-147.848	0	-147.848	25.2423	25.2423	0.0374072	1.04753	0.759556	0.924571	1.05284	1.26303	1.83139	0.000796016	0.231234	0.636555	0.131416	83.1508	1.08494	1.04753
400	-140.36	0	-140.36	18.639	18.639	0.0374072	1.74414	0.722844	0.910283	1.05916	1.30771	1.42294	0.00087658	0.0785501	0.755241	0.165333	81.4125	1.78155	1.74414
410	-125.347	0	-125.347	21.4987	21.4987	0.0374072	2.90736	0.740716	0.917342	1.05615	1.28579	0.380982	0.168821	0.288007	0.445325	0.0978467	81.8601	2.94477	2.90736
420	-129.741	0	-129.741	37.4184	37.4184	0.024537	3.05842	0.800527	0.939568	1.04518	1.21472	0.540002	0.230509	0.42108	0.118262	0.230149	82.2578	3.08295	3.05842
430	-119.789	0	-119.789	17.5366	17.5366	0.0537023	2.72535	0.714878	0.907071	1.06046	1.31759	0.361177	0.320092	0.109137	0.114136	0.456634	81.7455	2.77905	2.72535
440	-139.723	0	-139.723	5.51823	5.51823	0.0668147	2.41129	0.522274	0.815405	1.0823	1.58002	1.03342	0.928054	0.0293513	0.0243302	0.0182649	80.375	2.47811	2.41129
450	-136.841	0	-136.841	2.6731	2.6731	0.0689802	1.43084	0.362277	0.711656	1.08035	1.84572	0.969971	0.318867	0.0053769	0.263039	0.412717	79.992	1.49982	1.43084
460	-148.088	0	-148.088	3.28826	3.28826	0.0307621	1.97558	0.410402	0.746335	1.08361	1.75965	0.798451	0.538965	0.00837573	0.130615	0.322044	80.9605	2.00634	1.97558
