Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
300	-13307.3	-13129.7	-177.576	0.264984	0.264984	0.0527997	0.128042	0.00288486	0.0777047	0.532038	3.38737	16.4721	0.375339	0.354597	0.0590889	0.210974	98.0427	0.180842	0.128042
310	-13305.8	-13128.4	-177.368	0.248301	0.248301	0.0344809	0.2371	0.00203353	0.0654659	0.497889	3.43461	16.5012	0.334045	0.378393	0.0624309	0.225132	94.3213	0.271581	0.2371
320	-13305	-13126.5	-178.433	0.257876	0.257876	0.0329208	0.0961971	0.00249934	0.0724341	0.517804	3.40726	17.1949	0.353949	0.359582	0.0581424	0.228326	97.6147	0.129118	0.0961971
330	-13302.4	-13123.9	-178.56	0.250391	0.250391	0.0349259	0.0969742	0.00213005	0.0669727	0.50231	3.42859	16.1186	0.336768	0.371649	0.0581761	0.233407	98.2791	0.1319	0.0969742
340	-13304.2	-13126.9	-177.303	0.238518	0.238518	0.044267	0.0896645	0.00161911	0.0585321	0.476637	3.46321	17.3079	0.334749	0.36942	0.0638235	0.232008	95.542	0.133931	0.0896645
350	-13299.1	-13121.9	-177.221	0.242078	0.242078	0.0481212	0.107278	0.00176287	0.0610312	0.484478	3.45273	17.0938	0.361297	0.363476	0.0586592	0.216569	98.8987	0.1554	0.107278
360	-13298.8	-13120.2	-178.638	0.244089	0.244089	0.0547926	0.0478165	0.00184761	0.0624554	0.488853	3.44684	17.9781	0.358335	0.363554	0.0621031	0.216008	97.0313	0.102609	0.0478165
370	-13306	-13128.9	-177.146	0.262287	0.262287	0.0501388	0.113024	0.00273455	0.0756962	0.526692	3.39488	17.2849	0.363777	0.355861	0.0642391	0.216123	95.5826	0.163162	0.113024
380	-13307.9	-13129.6	-178.323	0.251897	0.251897	0.0371751	0.091881	0.00220136	0.0680635	0.50547	3.42427	17.7759	0.363777	0.355861	0.0642391	0.216123	92.6166	0.129056	0.091881
390	-13302	-13123.2	-178.822	0.242099	0.242099	0.0371751	0.174969	0.00176376	0.0610464	0.484525	3.45266	17.7759	0.374233	0.351624	0.0605936	0.21355	99.8232	0.212144	0.174969
